date,open,high,low,close,volume,Name
2/8/2013,14.77,14.88,14.52,14.62,9197133,DAL
2/11/2013,14.66,14.9,14.61,14.69,7583776,DAL
2/12/2013,14.64,14.79,14.46,14.5,7146775,DAL
2/13/2013,14.57,14.8,14.5,14.78,7230362,DAL
2/14/2013,14.6,14.68,14.02,14.24,17917839,DAL
2/15/2013,14.37,14.56,14.31,14.45,14249465,DAL
2/19/2013,14.4,14.62,14.2,14.3,12246285,DAL
2/20/2013,14.29,14.32,13.78,13.82,13826728,DAL
2/21/2013,13.96,13.99,13.16,13.56,21228568,DAL
2/22/2013,13.56,13.77,13.39,13.75,8462715,DAL
2/25/2013,13.84,14.34,13.82,14.02,16935296,DAL
2/26/2013,13.94,14,13.6,13.9,11452117,DAL
2/27/2013,13.89,14.35,13.85,14.27,7946610,DAL
2/28/2013,14.34,14.42,14.23,14.27,7523444,DAL
3/1/2013,14.26,15.08,14.26,14.82,16028376,DAL
3/4/2013,14.75,15.89,14.61,15.65,25402812,DAL
3/5/2013,15.71,15.93,15.67,15.86,12264228,DAL
3/6/2013,16,16.07,15.465,15.67,12824771,DAL
3/7/2013,15.7,15.93,15.59,15.9,6444054,DAL
3/8/2013,16.14,16.4,15.81,16.24,18025734,DAL
3/11/2013,16.05,16.42,15.77,16.23,11617216,DAL
3/12/2013,16.2,16.3,15.97,16.03,9584199,DAL
3/13/2013,15.95,16.41,15.95,16.36,11475544,DAL
3/14/2013,16.34,16.48,16.17,16.28,9249191,DAL
3/15/2013,16.15,16.23,15.82,16,15200424,DAL
3/18/2013,15.83,16.38,15.755,16.27,7994738,DAL
3/19/2013,16.42,16.73,16.3,16.54,9136970,DAL
3/20/2013,16.71,17.09,16.58,17.07,13071851,DAL
3/21/2013,16.94,17.25,16.83,16.84,10704542,DAL
3/22/2013,17.03,17.04,16.59,16.71,10070507,DAL
3/25/2013,16.78,16.88,16.22,16.31,11365904,DAL
3/26/2013,16.5,16.6899,16.29,16.55,10005383,DAL
3/27/2013,16.37,16.76,16.285,16.59,7921721,DAL
3/28/2013,16.69,16.94,16.47,16.51,10111078,DAL
4/1/2013,16.43,16.94,16.25,16.25,10897687,DAL
4/2/2013,15.4,15.58,14.77,14.94,41031013,DAL
4/3/2013,14.98,15.14,14.26,14.56,26394954,DAL
4/4/2013,14.42,14.85,14.41,14.75,16123131,DAL
4/5/2013,14.04,14.62,13.94,14.39,38513339,DAL
4/8/2013,14.6,14.98,14.4001,14.93,12334009,DAL
4/9/2013,15.17,15.24,14.75,14.8,14994769,DAL
4/10/2013,14.92,15.32,14.87,15.25,11900304,DAL
4/11/2013,15.25,15.74,15.25,15.55,11817699,DAL
4/12/2013,15.49,15.91,15.39,15.48,8502034,DAL
4/15/2013,15.58,15.69,14.71,14.91,15396447,DAL
4/16/2013,15.4,15.89,15.27,15.87,11531039,DAL
4/17/2013,15.69,15.7,15.2,15.53,22305559,DAL
4/18/2013,15.53,15.53,15.07,15.15,14416076,DAL
4/19/2013,15.22,15.465,14.85,15.26,9013469,DAL
4/22/2013,15.33,15.7,14.91,15.14,17102631,DAL
4/23/2013,14.93,16.75,14.84,16.72,28040579,DAL
4/24/2013,16.62,16.75,16.32,16.47,11143351,DAL
4/25/2013,16.51,16.9,16.28,16.29,20772854,DAL
4/26/2013,16.35,16.87,16.18,16.81,11495032,DAL
4/29/2013,16.74,17.1,16.675,16.95,10949977,DAL
4/30/2013,16.93,17.33,16.75,17.14,12023650,DAL
5/1/2013,17.26,17.55,16.679,16.84,13514599,DAL
5/2/2013,16.87,17.54,16.69,17.49,16788159,DAL
5/3/2013,17.72,18.305,17.68,17.96,17301888,DAL
5/6/2013,17.99,18.24,17.77,18.06,7968631,DAL
5/7/2013,18.06,18.15,17.9,18.08,7301341,DAL
5/8/2013,18.25,18.84,18.25,18.66,26614806,DAL
5/9/2013,18.73,18.88,17.63,17.7,23001575,DAL
5/10/2013,17.82,18.24,17.72,18.13,11567190,DAL
5/13/2013,18.08,18.18,17.78,17.89,8181633,DAL
5/14/2013,18,18.27,17.95,18.25,8453592,DAL
5/15/2013,18.3,19.43,18.2501,18.96,21079420,DAL
5/16/2013,18.95,19.3,18.62,18.64,10452418,DAL
5/17/2013,18.73,18.95,18.44,18.54,10415748,DAL
5/20/2013,18.58,18.8653,18.22,18.36,8101732,DAL
5/21/2013,18.36,18.445,17.9,18.13,9162316,DAL
5/22/2013,18.2,18.512,18.1,18.18,10268318,DAL
5/23/2013,17.85,18.55,17.68,18.49,9341818,DAL
5/24/2013,18.21,18.93,18.21,18.93,11080232,DAL
5/28/2013,19.12,19.25,18.48,18.72,9910477,DAL
5/29/2013,18.53,18.62,17.75,18.08,13291011,DAL
5/30/2013,18.22,18.4,18.07,18.1,5579154,DAL
5/31/2013,18.1,18.42,17.97,18.01,7023743,DAL
6/3/2013,18.12,18.365,17.55,17.81,9934055,DAL
6/4/2013,17.97,18.66,17.8,18.09,12083160,DAL
6/5/2013,17.99,18.1,17.35,17.56,10279468,DAL
6/6/2013,17.5,17.79,16.94,17.49,12921064,DAL
6/7/2013,17.75,18.38,17.65,18.38,10492855,DAL
6/10/2013,18.47,18.69,18.21,18.59,7801182,DAL
6/11/2013,18.27,18.73,18.06,18.52,8208133,DAL
6/12/2013,18.68,18.8,18.01,18.07,6379347,DAL
6/13/2013,18.09,18.8,17.91,18.71,12372788,DAL
6/14/2013,18.63,18.96,18.53,18.85,10444905,DAL
6/17/2013,18.97,19.05,18.59,18.82,8832447,DAL
6/18/2013,18.8,19.05,18.64,18.97,5267152,DAL
6/19/2013,18.99,19.04,18.69,18.69,4749606,DAL
6/20/2013,18.47,18.75,18.23,18.41,11287335,DAL
6/21/2013,18.54,18.66,17.82,18.28,10310547,DAL
6/24/2013,18.09,18.09,17.29,17.36,12095506,DAL
6/25/2013,17.57,18.23,17.57,18.15,9023685,DAL
6/26/2013,18.25,18.43,18.09,18.41,4871034,DAL
6/27/2013,18.48,18.7,18.25,18.69,4855001,DAL
6/28/2013,18.61,18.87,18.51,18.71,7486388,DAL
7/1/2013,18.8,19.73,18.8,19.36,13262562,DAL
7/2/2013,19.36,19.42,18.66,18.99,8701966,DAL
7/3/2013,18.73,18.9,18.3,18.41,6577980,DAL
7/5/2013,18.84,19.18,18.71,19,6663519,DAL
7/8/2013,19.15,19.25,18.9501,19.03,4717899,DAL
7/9/2013,19.17,19.57,19.08,19.33,6139173,DAL
7/10/2013,19.36,19.64,18.52,18.7,15695219,DAL
7/11/2013,19.06,19.11,18.45,18.86,9921807,DAL
7/12/2013,18.88,19.39,18.79,19.29,8800779,DAL
7/15/2013,19.45,19.68,19.22,19.44,6599569,DAL
7/16/2013,19.5,19.59,19.2,19.29,5465574,DAL
7/17/2013,19.31,20.19,19.31,19.92,11346164,DAL
7/18/2013,20,20.7,20,20.56,15288130,DAL
7/19/2013,20.28,20.42,20.03,20.29,7418149,DAL
7/22/2013,20.21,20.39,20.08,20.37,4967610,DAL
7/23/2013,20.46,20.55,20.06,20.45,8768107,DAL
7/24/2013,21.08,21.64,20.72,20.8,17975304,DAL
7/25/2013,20.97,21.5,20.7601,21.48,12552059,DAL
7/26/2013,21.27,21.985,21.15,21.9,8877922,DAL
7/29/2013,21.82,22.01,21.22,21.32,7833828,DAL
7/30/2013,21.48,21.5,20.98,21.19,7459823,DAL
7/31/2013,21.33,21.44,21.13,21.23,5684558,DAL
8/1/2013,21.53,22.05,21.4,22.05,9939801,DAL
8/2/2013,21.97,22.02,21.74,21.95,6653134,DAL
8/5/2013,21.85,21.96,21.57,21.71,4653890,DAL
8/6/2013,21.71,21.75,20.97,20.98,6922298,DAL
8/7/2013,20.95,21.09,20.51,20.98,5775397,DAL
8/8/2013,21.24,21.35,20.98,21.06,6645525,DAL
8/9/2013,21.09,21.1,20.54,20.57,6656701,DAL
8/12/2013,20.51,21.09,20.45,21.04,8249955,DAL
8/13/2013,21.14,21.31,18.53,19.55,71977135,DAL
8/14/2013,19.3,19.43,18.75,19.04,30587372,DAL
8/15/2013,19.08,19.75,18.95,19.53,17556833,DAL
8/16/2013,19.6,20.1801,19.53,19.83,11501705,DAL
8/19/2013,19.77,19.79,19.01,19.13,8353221,DAL
8/20/2013,19.31,19.48,18.98,19.19,13644404,DAL
8/21/2013,19.27,19.77,19.1706,19.56,12700643,DAL
8/22/2013,19.69,20.4,19.69,20.25,13194891,DAL
8/23/2013,20.28,20.44,20.05,20.12,6312805,DAL
8/26/2013,20.14,20.55,19.85,20.27,10380249,DAL
8/27/2013,19.62,19.66,18.85,19.11,19935020,DAL
8/28/2013,19.08,19.22,18.92,19.13,10242783,DAL
8/29/2013,19.6201,20,19.33,19.64,12970228,DAL
8/30/2013,19.7,20.15,19.58,19.73,12920006,DAL
9/3/2013,20.05,20.45,19.57,19.84,16288332,DAL
9/4/2013,20.1701,20.44,20,20.31,12531878,DAL
9/5/2013,20.33,20.74,20.2,20.25,9206386,DAL
9/6/2013,20.51,20.61,19.75,19.89,12240923,DAL
9/9/2013,20.85,21.785,20.76,21.76,48673985,DAL
9/10/2013,22.11,23.13,21.97,22.63,206363059,DAL
9/11/2013,22.43,22.71,22.3,22.42,27856128,DAL
9/12/2013,22.33,22.44,22.08,22.17,26098888,DAL
9/13/2013,22.2,22.59,22.15,22.47,15015627,DAL
9/16/2013,22.98,23.57,22.78,23.15,21623954,DAL
9/17/2013,23.66,23.71,23.07,23.32,14279363,DAL
9/18/2013,23,23.55,22.91,23.31,17592066,DAL
9/19/2013,23.32,23.59,23.08,23.45,9416188,DAL
9/20/2013,23.58,23.72,23.2501,23.3,14547457,DAL
9/23/2013,23.31,23.51,23.14,23.32,9872410,DAL
9/24/2013,23.25,24.1,23.25,23.76,11150940,DAL
9/25/2013,23.8,23.84,23.2,23.81,11789054,DAL
9/26/2013,23.79,24.02,23.64,24.01,12969071,DAL
9/27/2013,23.38,23.95,23.1,23.57,16040371,DAL
9/30/2013,23.16,23.69,22.71,23.59,10830267,DAL
10/1/2013,23.68,24.22,23.63,24.21,15105937,DAL
10/2/2013,24.55,24.77,24.11,24.25,21639249,DAL
10/3/2013,24.49,24.7,23.9001,24.54,16929515,DAL
10/4/2013,24.69,25.43,24.55,25.19,17398258,DAL
10/7/2013,24.95,25.09,24.81,24.85,8462727,DAL
10/8/2013,24.76,24.82,24.05,24.23,12507203,DAL
10/9/2013,24.29,24.545,23.72,24.25,10944389,DAL
10/10/2013,24.64,24.94,24.38,24.51,12480393,DAL
10/11/2013,24.58,24.79,24.17,24.4,12402205,DAL
10/14/2013,24.2,24.35,23.77,24.11,18372400,DAL
10/15/2013,24.1,24.27,23.83,24.02,11664592,DAL
10/16/2013,24.18,24.51,23.88,24.42,10759738,DAL
10/17/2013,24.38,24.9,24.38,24.79,12646419,DAL
10/18/2013,24.97,25.175,24.82,25.01,11466718,DAL
10/21/2013,25.2,25.23,24.46,24.69,12840784,DAL
10/22/2013,25.56,26.24,25.26,25.49,22623259,DAL
10/23/2013,25.44,25.95,25.29,25.61,12626860,DAL
10/24/2013,25.85,26.47,25.67,26.32,18251863,DAL
10/25/2013,26.3,26.68,26.05,26.31,13052870,DAL
10/28/2013,26.42,26.44,25.98,26.14,9505328,DAL
10/29/2013,26.34,26.69,26.24,26.35,9611178,DAL
10/30/2013,26.59,26.72,26,26.48,12238311,DAL
10/31/2013,26.47,26.62,26.26,26.38,10144290,DAL
11/1/2013,26.46,26.94,26.05,26.7,13658555,DAL
11/4/2013,27.13,27.785,27.01,27.44,17463774,DAL
11/5/2013,27.7,27.71,27.115,27.46,13766207,DAL
11/6/2013,27.66,27.7,26.77,26.88,13375941,DAL
11/7/2013,27.01,27.39,26.6,26.68,13309376,DAL
11/8/2013,26.64,27.6325,26.62,26.89,17580812,DAL
11/11/2013,27.19,27.56,27.13,27.47,7869152,DAL
11/12/2013,27.44,28.47,27.43,28.12,29657624,DAL
11/13/2013,28.11,28.22,27.58,27.79,11977254,DAL
11/14/2013,27.89,28.19,27.68,27.94,10551939,DAL
11/15/2013,28.01,28.19,27.785,28.12,10508616,DAL
11/18/2013,28.27,28.7,28.05,28.12,13632463,DAL
11/19/2013,28.16,28.745,27.83,27.85,13899981,DAL
11/20/2013,27.99,28.08,27.42,27.71,12442421,DAL
11/21/2013,27.85,28.13,27.7201,28.04,8489660,DAL
11/22/2013,28.25,28.9,28.25,28.6,14684623,DAL
11/25/2013,29,29.389,28.72,29.17,14535798,DAL
11/26/2013,29.18,29.24,28.74,29.04,10972105,DAL
11/27/2013,29.17,29.42,29,29.34,9180302,DAL
11/29/2013,29.42,29.435,28.86,28.98,5589070,DAL
12/2/2013,29,29.42,28.91,29,8905441,DAL
12/3/2013,28.95,28.97,27.84,28.05,17546507,DAL
12/4/2013,27.99,28.01,27.3,27.61,15919705,DAL
12/5/2013,27.63,28.01,27.62,27.94,13601405,DAL
12/6/2013,28.37,28.675,28.11,28.23,11333601,DAL
12/9/2013,28.26,28.95,28.2,28.88,11504596,DAL
12/10/2013,28.83,29.12,28.57,28.77,10638744,DAL
12/11/2013,28.85,29.05,27.65,27.66,16744139,DAL
12/12/2013,27.77,28.42,27.75,28.21,11556286,DAL
12/13/2013,28.4,28.78,28.25,28.37,11055649,DAL
12/16/2013,28.67,28.77,27.82,27.92,11248441,DAL
12/17/2013,27.95,27.96,26.8986,26.94,17570876,DAL
12/18/2013,26.86,27.225,26.4,27.11,16447209,DAL
12/19/2013,27.39,27.72,27.31,27.51,11140200,DAL
12/20/2013,27.56,27.91,27.32,27.55,18881873,DAL
12/23/2013,27.77,27.89,27.46,27.57,7471785,DAL
12/24/2013,27.51,27.92,27.51,27.84,4899179,DAL
12/26/2013,27.86,27.98,27.59,27.88,6131397,DAL
12/27/2013,27.86,27.89,26.86,27.03,9962199,DAL
12/30/2013,26.94,27.38,26.89,27.19,7571061,DAL
12/31/2013,27.23,27.65,27.2,27.47,9152750,DAL
1/2/2014,27.26,28.05,27.26,27.7,11704363,DAL
